state,date,cases,deaths
Texas,2020-08-19,582623,11043
Northern Mariana Islands,2020-08-20,54,2
Maryland,2020-08-22,104040,3672
Florida,2020-08-25,604632,10579
New Hampshire,2020-08-26,7159,430
Illinois,2020-08-30,234134,8041
Vermont,2020-09-02,1629,58
Arkansas,2020-09-05,63476,882
Alabama,2020-09-06,132314,2276
Tennessee,2020-09-08,162793,1865
Alabama,2020-09-09,134417,2285
Pennsylvania,2020-09-10,146735,7894
Indiana,2020-09-12,106777,3437
Mississippi,2020-09-12,89620,2685
Massachusetts,2020-09-18,124239,9264
New Hampshire,2020-09-19,7917,438
Arizona,2020-09-24,215849,5560
New York,2020-10-13,225429,9010
Ohio,2020-10-17,180225,5067
South Carolina,2020-10-24,169341,3793
Texas,2020-10-24,906657,17998
New Jersey,2020-10-26,230968,16292
Washington,2020-11-01,113107,2466
Colorado,2020-11-07,128611,2417
Vermont,2020-11-07,2338,59
Michigan,2020-11-12,257959,8183
Montana,2020-11-13,44297,483
Wisconsin,2020-11-16,334640,2775
New Mexico,2020-11-21,79440,1352
Arizona,2020-11-22,299698,6464
Kentucky,2020-11-22,161222,1887
Missouri,2020-11-22,259267,3388
Alabama,2020-11-23,234080,3459
Nebraska,2020-12-04,136968,1205
Delaware,2020-12-11,43725,807
Nevada,2020-12-19,202164,2754
Virgin Islands,2020-12-20,1921,23
Louisiana,2020-12-21,286848,7107
Montana,2020-12-21,77456,881
Arizona,2020-12-24,483502,8301
Utah,2020-12-24,259935,1204
Kentucky,2020-12-25,253824,2782
Massachusetts,2020-12-25,327365,11957
Michigan,2020-12-27,508709,12648
West Virginia,2020-12-28,81436,1263
Oregon,2021-01-09,124476,1607
Delaware,2021-01-11,65673,986
Idaho,2021-01-11,150557,1552
South Dakota,2021-01-11,103499,1585
Florida,2021-01-14,1527926,23612
Georgia,2021-01-16,780930,11887
South Dakota,2021-01-16,105278,1633
Missouri,2021-01-23,447069,6436
Ohio,2021-01-31,895792,11178
New Jersey,2021-02-03,704711,21693
Utah,2021-02-07,353041,1733
North Dakota,2021-02-23,99416,1439
Alabama,2021-02-27,492683,9930
South Carolina,2021-03-10,528473,8781
Illinois,2021-03-16,1215745,22985
Mississippi,2021-03-29,304695,7001
Alaska,2021-03-30,62119,299
Maryland,2021-03-30,410163,8214
Alabama,2021-04-05,516918,10638
Alabama,2021-04-07,517452,10652
Pennsylvania,2021-04-07,1060102,25342
Connecticut,2021-04-10,320461,7932
Illinois,2020-01-26,1,0
Arizona,2020-01-30,1,0
Wisconsin,2020-02-08,1,0
Nevada,2020-03-19,95,1
Massachusetts,2020-03-27,2936,35
Kentucky,2020-04-01,674,20
South Dakota,2020-04-05,240,2
South Carolina,2020-04-07,2417,51
Ohio,2020-04-12,6605,253
Nebraska,2020-04-19,1466,28
South Dakota,2020-04-21,1755,8
Montana,2020-04-22,439,14
Vermont,2020-04-30,863,48
Iowa,2020-05-07,11051,231
Kansas,2020-05-09,6923,172
South Dakota,2020-05-15,3887,44
Vermont,2020-05-18,935,54
Michigan,2020-05-21,53249,5127
Oregon,2020-05-21,3817,145
Minnesota,2020-05-23,19829,852
New Hampshire,2020-05-23,4074,208
Illinois,2020-05-19,98298,4399
Rhode Island,2020-05-25,12547,425
Washington,2020-05-31,22814,1126
New Hampshire,2020-06-03,4785,265
Alabama,2020-06-06,20043,689
New Mexico,2020-06-12,9526,426
Wisconsin,2020-06-12,22661,692
Oklahoma,2020-06-17,8903,364
Georgia,2020-06-22,60913,2606
Hawaii,2020-06-22,804,17
South Dakota,2020-06-22,6326,81
Oklahoma,2020-06-23,11028,371
Rhode Island,2020-06-25,14945,797
North Carolina,2020-06-29,63692,1341
Montana,2020-07-01,1016,22
Nebraska,2020-07-08,20437,291
New York,2020-07-16,184431,9291
Alabama,2020-07-18,65234,1286
Alabama,2020-07-21,70358,1303
Missouri,2020-07-21,32984,1108
Indiana,2020-07-31,67800,2965
Maine,2020-08-01,3935,123
North Carolina,2020-08-03,126748,2013
Arkansas,2020-08-10,48205,555
Vermont,2020-08-10,1454,58
Illinois,2020-08-17,208667,7779
North Carolina,2020-08-18,147141,2425
Kansas,2020-08-31,43407,451
Hawaii,2020-09-09,10228,90
Virgin Islands,2020-09-12,1220,19
Wisconsin,2020-09-17,100619,1232
Illinois,2020-09-20,275242,8466
Connecticut,2020-09-25,56455,4501
New York,2020-09-28,213411,8927
Louisiana,2020-10-02,167202,5355
Missouri,2020-10-17,145367,2456
Ohio,2020-10-19,183624,5075
South Dakota,2020-10-24,38141,366
Massachusetts,2020-11-01,155325,10007
South Dakota,2020-11-07,53976,523
Utah,2020-11-10,137422,668
Pennsylvania,2020-11-11,248144,9217
Arkansas,2020-11-15,130874,2183
Oklahoma,2020-11-22,174268,1634
Georgia,2020-11-27,445417,9128
Iowa,2020-11-30,229939,2426
New Hampshire,2020-12-07,25349,566
Indiana,2020-12-16,443734,7101
Florida,2020-12-22,1220032,20753
Wisconsin,2020-12-24,503706,5022
Massachusetts,2020-12-29,345411,12212
Wisconsin,2021-01-07,540508,5485
Illinois,2021-01-08,1020011,19110
Idaho,2021-01-17,155617,1609
Delaware,2021-01-20,71609,1026
Wyoming,2021-02-07,52627,624
Utah,2021-02-11,357207,1774
Washington,2021-02-11,329170,4701
Indiana,2021-02-13,650842,12149
Georgia,2021-02-16,941330,15681
Maine,2021-02-19,43224,656
Mississippi,2021-02-23,291222,6577
Rhode Island,2021-03-02,113694,2449
Mississippi,2021-03-07,297581,6808
South Carolina,2021-03-08,526716,8760
Alabama,2021-03-09,500616,10186
Pennsylvania,2021-03-09,958266,24445
Arkansas,2021-03-11,322811,5410
Louisiana,2021-03-22,440648,10030
Montana,2021-03-23,103579,1419
Kansas,2021-04-04,305137,3910
Kentucky,2021-04-04,432344,6210
Kansas,2021-04-08,306099,3920
Alaska,2021-04-09,63965,299
Utah,2021-04-11,388895,2154
Kentucky,2021-04-13,437685,6358
Wisconsin,2021-04-15,649388,7406
Arkansas,2021-04-23,331642,5716
Wisconsin,2020-02-13,1,0
Wisconsin,2020-02-19,1,0
Utah,2020-03-12,7,0
Kentucky,2020-03-16,22,1
Nebraska,2020-03-17,36,0
California,2020-03-24,2644,52
Michigan,2020-03-27,3627,93
Indiana,2020-04-02,3055,94
Wisconsin,2020-04-04,2112,60
Nevada,2020-04-05,1828,46
Idaho,2020-04-06,1170,13
Vermont,2020-04-07,572,7
West Virginia,2020-04-08,483,4
North Carolina,2020-04-10,3906,78
Kentucky,2020-04-11,1851,94
Kansas,2020-04-25,3091,119
Alaska,2020-05-04,368,7
District of Columbia,2020-05-09,6102,311
Hawaii,2020-05-10,621,17
Oklahoma,2020-05-17,5310,288
Mississippi,2020-05-24,13252,625
New Hampshire,2020-05-09,2979,131
Mississippi,2020-05-12,9908,457
Hawaii,2020-05-30,641,17
Ohio,2020-05-30,35033,2149
West Virginia,2020-06-02,2056,78
North Carolina,2020-06-04,32276,993
Texas,2020-06-05,73323,1821
Alabama,2020-06-12,23710,769
Utah,2020-06-21,17567,148
Louisiana,2020-06-22,50231,3004
Tennessee,2020-06-27,39813,577
Hawaii,2020-06-30,900,18
Arkansas,2020-07-09,25117,309
Nebraska,2020-07-09,20658,294
Washington,2020-07-10,41090,1426
Wisconsin,2020-07-12,36925,821
Maryland,2020-07-16,76237,3334
Massachusetts,2020-07-22,114005,8462
Hawaii,2020-07-23,1468,25
Tennessee,2020-07-28,96147,987
Hawaii,2020-08-05,2740,26
Washington,2020-08-13,68093,1820
Virginia,2020-08-14,104838,2370
Utah,2020-08-21,48600,385
Virgin Islands,2020-08-29,1129,14
North Dakota,2020-09-07,13801,156
Virgin Islands,2020-09-13,1220,19
Illinois,2020-09-16,267254,8392
Maryland,2020-09-20,120656,3870
Louisiana,2020-09-22,162021,5218
District of Columbia,2020-09-23,15050,621
Maryland,2020-09-23,121793,3892
New Mexico,2020-09-27,28843,870
Illinois,2020-09-29,292260,8661
Georgia,2020-10-14,339974,7294
New Jersey,2020-10-15,218398,16197
Northern Mariana Islands,2020-10-20,88,2
Delaware,2020-10-21,23284,670
Delaware,2020-10-25,23870,681
Oregon,2020-10-25,42101,654
Oregon,2020-10-26,42454,657
South Dakota,2020-10-26,39741,375
Virginia,2020-10-28,176754,3616
Alabama,2020-10-29,189149,2914
Virginia,2020-11-01,182392,3655
Rhode Island,2020-11-02,28457,1175
Alaska,2020-11-03,17268,79
District of Columbia,2020-11-14,18814,658
Colorado,2020-11-22,199296,2811
Mississippi,2020-11-29,151785,3806
Maine,2020-12-02,12197,218
Oregon,2020-12-02,78206,962
Nebraska,2020-12-05,139103,1208
North Carolina,2020-12-20,479875,6259
Connecticut,2020-12-23,170031,5736
Mississippi,2020-12-23,200325,4533
Kentucky,2020-11-25,169822,1975
Wisconsin,2020-12-28,510137,5065
Kansas,2021-01-12,250646,2671
Oregon,2021-01-15,131296,1763
Minnesota,2021-01-18,446908,5939
Washington,2021-01-18,293739,3974
North Dakota,2021-01-20,96222,1387
North Dakota,2021-01-26,97006,1415
Mississippi,2021-01-27,268672,5917
Connecticut,2021-01-29,249201,7039
Rhode Island,2021-02-04,106142,2154
California,2021-02-05,3395682,43631
Louisiana,2021-02-05,409449,9076
Washington,2021-02-10,328246,4675
Illinois,2021-02-12,1161206,21883
Tennessee,2021-02-18,739803,10851
North Carolina,2021-02-21,846600,10957
South Dakota,2021-02-26,112107,1879
Alaska,2021-03-09,59041,291
Alabama,2021-03-10,501398,10222
Mississippi,2021-03-15,300881,6903
District of Columbia,2021-03-18,42892,1046
Arkansas,2021-03-22,325513,5544
Connecticut,2021-03-22,298617,7831
South Carolina,2021-03-23,542912,9030
Oregon,2021-03-26,163368,2384
Maine,2021-03-31,50503,743
South Carolina,2021-04-04,555274,9196
Kentucky,2021-04-07,434238,6295
Georgia,2021-04-09,1044154,18813
Alabama,2021-04-11,518899,10712
Utah,2021-04-12,389136,2154
Wisconsin,2021-04-12,646176,7384
Kentucky,2021-04-14,438463,6380
New Mexico,2021-04-15,194605,3999
New York,2021-04-21,1099401,19028
Texas,2021-04-23,2870840,50048
Arizona,2020-02-14,1,0
Wisconsin,2020-02-28,1,0
Washington,2020-03-03,32,10
Colorado,2020-03-05,2,0
New York,2020-03-05,18,0
Washington,2020-03-05,75,11
Pennsylvania,2020-03-06,2,0
Wisconsin,2020-03-21,281,4
South Carolina,2020-03-22,194,3
Florida,2020-03-26,2478,29
Oregon,2020-03-26,316,11
Vermont,2020-03-31,282,7
New York,2020-04-01,36450,278
New York,2020-04-14,91743,3144
Maryland,2020-04-16,10838,355
Maine,2020-04-21,887,36
New York,2020-04-23,117605,4851
Ohio,2020-05-06,21576,1225
New Mexico,2020-05-19,6192,276
Colorado,2020-05-21,23100,1309
Kentucky,2020-04-27,4135,216
Minnesota,2020-05-26,21945,899
Louisiana,2020-05-31,39832,2686
New Mexico,2020-06-04,8353,383
South Dakota,2020-06-12,5742,74
Vermont,2020-06-14,1122,55
Michigan,2020-06-15,66163,6023
Indiana,2020-06-21,43496,2540
Maine,2020-06-27,3151,104
Florida,2020-07-04,189843,3701
Ohio,2020-07-05,57151,2911
Vermont,2020-07-05,1244,56
New York,2020-07-10,181919,9265
Connecticut,2020-07-12,47057,4348
Arizona,2020-07-13,123917,2250
Illinois,2020-07-13,155156,7197
Oregon,2020-07-20,14907,264
Delaware,2020-07-23,13761,529
Washington,2020-07-27,55545,1608
Vermont,2020-07-28,1398,56
Tennessee,2020-08-02,106694,1062
Michigan,2020-08-03,92465,6467
Northern Mariana Islands,2020-08-03,46,2
District of Columbia,2020-08-04,12398,587
Texas,2020-08-11,524898,9311
Washington,2020-08-18,71030,1893
Missouri,2020-08-20,64215,1400
Maryland,2020-08-21,103461,3665
Oregon,2020-08-27,25775,444
Alabama,2020-08-29,123889,2152
District of Columbia,2020-08-29,13925,605
Hawaii,2020-09-03,9177,78
Maine,2020-09-04,4632,134
Connecticut,2020-09-05,53265,4468
South Carolina,2020-09-07,125607,2907
New Jersey,2020-09-12,197820,16027
Kansas,2020-09-16,51829,582
Illinois,2020-10-01,296699,8716
West Virginia,2020-10-05,16742,361
Louisiana,2020-10-06,168849,5402
New York,2020-10-10,223271,8993
Vermont,2020-10-15,1895,58
Washington,2020-10-18,102401,2337
Maryland,2020-10-19,136643,4034
Wyoming,2020-10-23,10545,68
North Dakota,2020-10-26,38241,461
Rhode Island,2020-10-29,28457,1175
Washington,2020-11-09,124558,2575
Alaska,2020-11-11,21130,90
Utah,2020-11-23,179212,798
Louisiana,2020-11-24,224049,6323
South Dakota,2020-11-27,78280,888
Oklahoma,2020-11-28,193752,1717
New Hampshire,2020-12-06,24365,564
Iowa,2020-12-07,245252,2723
Mississippi,2020-12-07,166194,3961
Montana,2020-12-08,69465,763
Northern Mariana Islands,2020-12-09,113,2
Delaware,2020-12-12,44782,815
South Carolina,2020-12-15,257320,4756
Texas,2020-12-15,1513359,24796
Michigan,2020-12-16,477587,11562
Wyoming,2020-12-20,41662,351
Vermont,2020-12-23,6672,117
Delaware,2020-12-24,52893,888
District of Columbia,2020-12-25,27436,756
West Virginia,2020-12-26,80177,1253
Wyoming,2020-12-28,43704,405
Montana,2020-12-29,80516,939
Michigan,2021-01-05,536754,13557
Massachusetts,2021-01-07,392017,12902
Alabama,2021-01-10,401900,5334
Missouri,2021-01-17,435245,6177
Nevada,2021-01-18,262867,3784
Kansas,2021-01-19,262727,2816
Oklahoma,2021-01-19,358228,3037
Washington,2021-01-26,307880,4245
Wisconsin,2021-01-26,584041,6268
Alaska,2021-01-31,53749,253
Wyoming,2021-02-02,52128,624
Nebraska,2021-02-06,194422,2081
Hawaii,2021-02-07,26398,415
Illinois,2021-03-04,1196739,22684
Illinois,2021-03-05,1198242,22715
Rhode Island,2021-03-06,115945,2502
Minnesota,2021-03-07,489558,6550
Rhode Island,2021-03-08,115945,2502
Colorado,2021-03-13,445139,6118
New Hampshire,2021-03-14,77574,1194
Missouri,2021-03-27,538449,8290
Alaska,2021-04-03,62710,299
North Dakota,2021-04-03,103577,1466
Iowa,2021-04-06,353559,5835
North Carolina,2021-04-08,932887,12250
Illinois,2021-04-11,1283110,23520
Wyoming,2021-04-12,56988,701
Massachusetts,2020-02-15,1,0
Tennessee,2020-03-06,1,0
Arizona,2020-03-07,5,0
Wisconsin,2020-03-10,3,0
South Dakota,2020-03-11,8,1
California,2020-03-16,588,11
Indiana,2020-03-17,30,2
South Dakota,2020-03-17,11,1
California,2020-03-22,1850,35
Pennsylvania,2020-03-27,2217,23
Ohio,2020-04-09,5513,213
Utah,2020-04-10,2103,10
North Dakota,2020-04-15,365,9
Florida,2020-04-17,24741,725
Oregon,2020-04-17,1785,70
Texas,2020-04-21,20949,552
Virgin Islands,2020-04-21,54,0
Arizona,2020-04-25,6280,275
Utah,2020-04-25,3950,40
Vermont,2020-04-29,859,46
New York,2020-04-30,136912,5807
North Carolina,2020-05-05,12283,477
North Carolina,2020-05-12,15402,597
California,2020-05-13,73218,3014
Kentucky,2020-05-17,7793,346
Wyoming,2020-05-17,754,8
Kentucky,2020-05-31,9937,441
Alabama,2020-06-03,18851,653
Oklahoma,2020-06-08,7206,348
Florida,2020-06-24,108876,3280
Wyoming,2020-06-29,1450,20
Missouri,2020-07-03,20831,1021
Montana,2020-07-05,1212,23
Colorado,2020-07-06,34316,1704
Maryland,2020-07-06,70497,3228
Virgin Islands,2020-07-18,297,0
Virgin Islands,2020-07-21,308,0
Virginia,2020-07-22,80393,2051
Mississippi,2020-07-23,48053,1436
Massachusetts,2020-07-26,115312,8523
Montana,2020-07-28,3491,52
Indiana,2020-07-30,66883,2946
California,2020-08-01,509507,9365
South Carolina,2020-08-06,96797,1942
Delaware,2020-08-11,15449,591
Mississippi,2020-08-12,69374,1989
North Carolina,2020-08-12,139413,2277
Oregon,2020-08-15,23018,389
Alaska,2020-08-20,5289,27
South Carolina,2020-08-21,110378,2459
Idaho,2020-08-30,32034,360
Kentucky,2020-08-30,50170,955
Wyoming,2020-08-31,3842,37
Illinois,2020-09-08,253366,8212
Montana,2020-09-19,10193,156
Missouri,2020-09-20,103127,1770
South Carolina,2020-09-24,142707,3279
Vermont,2020-09-24,1716,58
Washington,2020-09-28,90594,2197
Maryland,2020-09-30,125217,3939
West Virginia,2020-10-06,16936,364
Wyoming,2020-10-06,6770,53
Vermont,2020-10-09,1838,58
Washington,2020-10-09,96835,2286
Nevada,2020-10-10,85463,1659
South Dakota,2020-10-11,28564,286
New Hampshire,2020-10-15,9418,463
Virgin Islands,2020-10-15,1329,21
Nevada,2020-10-19,90978,1714
New Hampshire,2020-10-19,9732,468
Indiana,2020-10-24,162886,4118
Kansas,2020-10-26,80473,972
Georgia,2020-11-03,376580,7831
Texas,2020-11-04,984919,18870
Maryland,2020-11-06,151964,4179
Texas,2020-11-08,1016772,19256
Idaho,2020-11-14,81625,763
Pennsylvania,2020-11-14,264396,9353
New Jersey,2020-11-15,280391,16566
Kansas,2020-11-21,137295,1324
Arkansas,2020-11-23,143832,2387
Ohio,2020-11-24,371908,6118
Vermont,2020-12-06,5007,79
Ohio,2020-12-07,484297,7023
Michigan,2020-12-17,482057,11772
California,2020-12-18,1809585,22496
Maryland,2020-12-20,251069,5402
Washington,2020-12-20,227049,3170
Utah,2020-12-22,254461,1174
Missouri,2020-12-23,364067,5170
Mississippi,2020-12-25,204178,4562
Arizona,2020-12-26,493277,8424
Arkansas,2020-12-30,219714,3637
Indiana,2021-01-15,586206,9246
New York,2021-01-16,704893,14406
Nebraska,2021-01-25,188850,1984
New York,2021-01-26,778575,15553
North Carolina,2021-01-30,750117,9215
Alaska,2021-02-01,53845,253
District of Columbia,2021-02-05,37634,940
Montana,2021-02-13,97338,1328
Arkansas,2021-02-15,310508,5275
Oregon,2021-03-07,157350,2303
Virginia,2021-03-08,586592,9683
Massachusetts,2021-03-15,568272,16664
Virgin Islands,2021-03-22,2767,25
New Mexico,2021-03-25,190491,3918
New Mexico,2021-03-31,191652,3939
Mississippi,2021-04-06,306341,7073
Tennessee,2021-04-10,799191,11779
Nebraska,2021-04-13,214936,2337
Arkansas,2021-04-18,330635,5694
Northern Mariana Islands,2021-04-21,162,2
Missouri,2020-03-18,21,1
Oklahoma,2020-03-27,322,8
Indiana,2020-03-30,1797,44
Michigan,2020-04-03,12454,477
Kentucky,2020-04-05,1048,37
North Carolina,2020-04-06,2870,42
Nevada,2020-04-09,2436,82
Wyoming,2020-04-10,320,0
Oklahoma,2020-04-13,2069,98
Wisconsin,2020-05-04,8362,340
Kentucky,2020-05-07,6170,301
Massachusetts,2020-05-12,79059,5137
New York,2020-05-13,153434,7633
Wyoming,2020-05-18,766,10
Illinois,2020-05-20,100713,4547
Louisiana,2020-05-20,35244,2485
Iowa,2020-05-23,16510,441
Maryland,2020-05-25,47754,2245
North Carolina,2020-05-25,23997,780
Rhode Island,2020-05-29,13071,652
California,2020-06-01,115643,4287
Washington,2020-06-08,25593,1168
Florida,2020-06-09,65899,2764
Montana,2020-06-09,554,18
North Dakota,2020-06-10,2941,73
North Dakota,2020-06-11,2980,74
Virginia,2020-06-14,54506,1546
Kansas,2020-06-21,12258,258
West Virginia,2020-06-21,2543,89
Indiana,2020-07-05,49203,2693
Rhode Island,2020-07-06,15503,924
South Carolina,2020-07-20,71445,1164
South Dakota,2020-08-01,8867,134
Montana,2020-08-08,4889,75
California,2020-08-17,634991,11334
Utah,2020-08-17,46920,366
South Carolina,2020-08-19,108411,2360
Wisconsin,2020-08-19,68116,1064
Kansas,2020-08-25,39089,433
Utah,2020-08-31,52149,408
Florida,2020-09-04,639114,11749
California,2020-09-07,742689,13763
Maine,2020-09-08,4713,134
Kansas,2020-09-09,48389,497
Vermont,2020-09-13,1676,58
Rhode Island,2020-09-24,22029,1087
Missouri,2020-09-25,111027,1928
New York,2020-09-26,212472,8918
District of Columbia,2020-09-27,15250,624
Arizona,2020-09-30,218511,5654
West Virginia,2020-10-03,16468,357
Mississippi,2020-10-07,102241,3051
Indiana,2020-10-08,132030,3742
Nevada,2020-10-09,84785,1658
Minnesota,2020-10-10,110645,2131
New Hampshire,2020-10-10,9083,455
Maryland,2020-10-12,132357,3994
Hawaii,2020-10-14,13834,182
Iowa,2020-10-18,107309,1532
New Mexico,2020-10-23,40168,960
Oklahoma,2020-10-25,116730,1249
Nebraska,2020-10-29,68136,646
Wisconsin,2020-10-31,237869,2092
Northern Mariana Islands,2020-11-02,96,2
West Virginia,2020-11-02,25235,458
Illinois,2020-11-04,439450,9961
Virgin Islands,2020-11-11,1413,23
Montana,2020-11-14,45919,519
District of Columbia,2020-11-18,19465,665
Rhode Island,2020-11-18,39645,1256
New Jersey,2020-11-19,294860,16689
Maine,2020-11-22,10351,176
Wyoming,2020-11-23,29431,202
Massachusetts,2020-11-24,203494,10544
New Hampshire,2020-11-25,18467,513
Pennsylvania,2020-11-25,333571,10162
Oklahoma,2020-11-29,195501,1736
Kansas,2020-12-03,165613,1579
Michigan,2020-12-03,403991,10010
Colorado,2020-12-04,252960,3375
Colorado,2020-12-06,262460,3437
Montana,2020-12-07,68651,743
Kentucky,2020-12-08,210232,2328
Massachusetts,2020-12-09,258580,11160
Hawaii,2020-12-19,20089,279
Montana,2020-12-19,76708,864
Florida,2020-12-21,1209609,20679
Mississippi,2020-12-22,197691,4490
Wyoming,2020-12-12,38907,321
Texas,2020-12-31,1772163,28155
Delaware,2021-01-08,63355,957
Georgia,2021-01-14,762900,11588
Wyoming,2021-01-17,49363,522
Ohio,2021-01-20,842433,10409
Vermont,2021-01-20,10463,165
Oregon,2021-01-21,135973,1850
South Dakota,2021-01-26,107380,1705
Vermont,2021-02-01,12074,175
Arkansas,2021-02-02,295159,4939
Minnesota,2021-02-04,464764,6251
Virginia,2021-02-05,521467,6732
Delaware,2021-02-09,81026,1221
New Hampshire,2021-02-10,68252,1111
New Jersey,2021-02-11,735307,22329
Utah,2021-02-12,358340,1784
Nevada,2021-02-16,289094,4736
Illinois,2021-02-18,1171687,22139
Tennessee,2021-02-24,747230,11059
Oregon,2021-03-06,157163,2303
North Dakota,2021-03-07,100391,1449
Arizona,2021-03-16,833883,16574
Texas,2021-03-20,2752597,47462
North Dakota,2021-03-25,102198,1465
Oregon,2021-04-05,167219,2409
Northern Mariana Islands,2021-04-09,160,2
Illinois,2021-04-14,1292456,23587
Texas,2021-04-14,2841337,49524
Kansas,2021-04-15,307634,3943
Indiana,2021-04-22,715087,13252
Texas,2020-02-12,1,0
Missouri,2020-03-22,116,3
Virginia,2020-03-24,291,6
Alaska,2020-03-26,69,0
Connecticut,2020-04-02,3650,111
Virgin Islands,2020-04-07,45,0
New Hampshire,2020-04-08,787,18
Texas,2020-04-11,13208,265
Montana,2020-04-15,404,7
Nevada,2020-04-20,3796,159
New Mexico,2020-04-20,1971,58
Rhode Island,2020-04-20,4229,20
Idaho,2020-04-24,1870,54
Maine,2020-04-29,1054,52
Georgia,2020-05-07,29672,1332
Alabama,2020-05-11,10164,403
Iowa,2020-05-13,13284,306
Florida,2020-05-18,46355,1996
Illinois,2020-05-21,102995,4634
Arkansas,2020-05-25,5870,117
Mississippi,2020-05-25,13458,635
Maryland,2020-05-26,48290,2275
Arizona,2020-05-27,17262,831
Kansas,2020-06-10,10931,241
Missouri,2020-06-11,14270,845
Florida,2020-06-16,80004,2992
California,2020-06-30,232153,6083
Missouri,2020-07-08,23238,1045
Missouri,2020-07-10,24766,1055
Nevada,2020-07-17,33372,638
New York,2020-07-06,180456,9239
South Dakota,2020-07-23,8143,121
Virgin Islands,2020-07-23,342,7
Rhode Island,2020-07-24,16613,987
Massachusetts,2020-08-02,118152,8632
Minnesota,2020-08-06,58508,1636
South Dakota,2020-08-08,9477,146
Indiana,2020-08-11,77625,3069
Maryland,2020-08-18,101780,3638
Florida,2020-08-24,601970,10396
Mississippi,2020-08-30,82676,2441
Ohio,2020-08-31,123157,4138
Arizona,2020-09-03,203964,5133
Arizona,2020-09-11,207525,5290
Iowa,2020-09-16,76658,1248
Minnesota,2020-09-16,85663,1933
Ohio,2020-09-17,141585,4580
California,2020-09-19,785076,15023
Kentucky,2020-09-19,65068,1137
Texas,2020-09-20,722460,15159
District of Columbia,2020-09-30,15326,627
New Hampshire,2020-10-01,8313,441
Virginia,2020-10-01,148721,3228
Wyoming,2020-10-05,6629,53
Wyoming,2020-10-09,7335,54
Vermont,2020-10-18,1929,58
Pennsylvania,2020-10-25,198756,8730
Kentucky,2020-10-22,94582,1439
Mississippi,2020-11-02,120865,3348
Ohio,2020-11-13,282528,5700
Maine,2020-11-19,9731,171
Arizona,2020-11-23,303188,6465
Louisiana,2020-11-23,220785,6284
Virginia,2020-11-28,233617,4054
Northern Mariana Islands,2020-11-29,104,2
Maryland,2020-12-07,217647,4826
Rhode Island,2020-12-23,73698,1631
Alabama,2020-12-24,338801,4676
New Hampshire,2020-12-24,38242,690
Northern Mariana Islands,2020-12-30,122,2
Texas,2021-01-04,1833180,28681
Nevada,2021-01-05,235710,3246
North Carolina,2021-01-07,595308,7262
New Mexico,2021-01-14,160543,2838
Indiana,2021-01-20,601380,9529
Virgin Islands,2021-01-30,2398,24
Alaska,2021-02-03,54208,269
Illinois,2021-02-05,1143961,21536
Minnesota,2021-02-05,465785,6273
Northern Mariana Islands,2021-02-08,133,2
Ohio,2021-02-08,922143,11695
West Virginia,2021-02-12,126887,2200
California,2021-02-13,3479469,46865
Oklahoma,2021-02-17,415856,4089
California,2021-02-19,3521230,48794
Louisiana,2021-02-20,421875,9440
Kansas,2021-02-21,294010,3542
New Jersey,2021-02-21,765539,22858
Georgia,2021-02-24,965841,16521
Virginia,2021-03-02,578559,8943
Maine,2021-03-03,45087,705
Rhode Island,2021-03-03,115945,2502
West Virginia,2021-03-04,132677,2309
Hawaii,2021-03-10,27944,445
Nebraska,2021-03-21,206792,2243
Massachusetts,2021-03-23,580908,16903
Utah,2021-03-26,382589,2091
Missouri,2021-04-05,542865,8328
Maryland,2021-04-13,428984,8408
Kansas,2021-04-19,308518,5005
Kentucky,2021-04-21,442294,6469
New York,2021-04-22,1102199,19046
Washington,2020-02-18,1,0
Colorado,2020-03-09,12,0
Texas,2020-03-10,31,0
Wisconsin,2020-03-12,8,0
Connecticut,2020-03-21,223,5
Tennessee,2020-03-22,396,2
Arizona,2020-03-24,326,3
Nebraska,2020-03-25,84,0
Kansas,2020-03-27,213,4
Maryland,2020-03-28,1066,10
Connecticut,2020-03-30,2395,36
Colorado,2020-03-31,2861,68
Oregon,2020-04-04,1000,26
Colorado,2020-04-18,9353,408
Oklahoma,2020-04-19,2599,140
Washington,2020-04-30,14814,822
California,2020-05-04,56333,2297
California,2020-05-05,58848,2386
Vermont,2020-05-12,923,53
South Carolina,2020-05-21,9379,416
Florida,2020-06-01,56738,2459
New Hampshire,2020-06-04,4868,273
Colorado,2020-06-11,28632,1583
California,2020-06-21,178807,5517
Georgia,2020-06-26,68073,2725
West Virginia,2020-07-03,3126,93
South Dakota,2020-07-07,7163,98
Idaho,2020-07-11,10584,102
Mississippi,2020-07-12,36287,1249
Vermont,2020-07-19,1341,56
Delaware,2020-07-31,14569,585
Kansas,2020-08-15,34294,406
Massachusetts,2020-08-16,121381,8745
Louisiana,2020-09-01,148696,4821
California,2020-09-04,732691,13644
Montana,2020-09-04,8046,114
Nevada,2020-09-07,72048,1394
North Carolina,2020-09-08,179150,2942
Northern Mariana Islands,2020-09-08,54,2
Washington,2020-09-14,83859,2093
Hawaii,2020-09-15,10951,99
Iowa,2020-09-17,77859,1257
Wyoming,2020-09-27,5633,50
Arizona,2020-10-02,219778,5693
Wisconsin,2020-10-09,152831,1442
Massachusetts,2020-10-12,136648,9611
Virginia,2020-10-13,160805,3372
New York,2020-10-20,231296,9054
